0.548870,-0.121500,0.239693,3.141593,0.000000,1.570796
0.548870,-0.121500,0.239693,3.141592,-0.000000,1.570796
0.548870,-0.121499,0.239693,3.141592,-0.000002,1.570796
0.548870,-0.121498,0.239693,3.141590,-0.000004,1.570797
0.548870,-0.121497,0.239692,3.141589,-0.000008,1.570797
0.548870,-0.121495,0.239692,3.141586,-0.000012,1.570797
0.548870,-0.121494,0.239691,3.141584,-0.000018,1.570798
0.548870,-0.121491,0.239691,3.141581,-0.000024,1.570798
0.548870,-0.121488,0.239690,3.141577,-0.000032,1.570799
0.548870,-0.121485,0.239689,3.141573,-0.000040,1.570799
0.548870,-0.121482,0.239688,3.141568,-0.000049,1.570800
0.548870,-0.121478,0.239687,3.141563,-0.000060,1.570801
0.548870,-0.121474,0.239686,3.141557,-0.000071,1.570802
0.548870,-0.121470,0.239685,3.141551,-0.000084,1.570803
0.548870,-0.121465,0.239683,3.141544,-0.000097,1.570804
0.548870,-0.121459,0.239682,3.141537,-0.000111,1.570805
0.548870,-0.121454,0.239680,3.141529,-0.000127,1.570806
0.548870,-0.121448,0.239678,3.141521,-0.000143,1.570807
0.548870,-0.121442,0.239677,3.141512,-0.000160,1.570808
0.548870,-0.121435,0.239675,3.141503,-0.000179,1.570810
0.548870,-0.121428,0.239673,3.141494,-0.000198,1.570811
0.548870,-0.121420,0.239671,3.141484,-0.000218,1.570813
0.548870,-0.121413,0.239668,3.141473,-0.000240,1.570814
0.548870,-0.121405,0.239666,3.141462,-0.000262,1.570816
0.548870,-0.121396,0.239664,3.141450,-0.000285,1.570818
0.548870,-0.121387,0.239661,3.141438,-0.000309,1.570820
0.548870,-0.121378,0.239659,3.141425,-0.000335,1.570822
0.548870,-0.121369,0.239656,3.141412,-0.000361,1.570824
0.548870,-0.121359,0.239653,3.141399,-0.000388,1.570826
0.548870,-0.121348,0.239650,3.141385,-0.000416,1.570828
0.548870,-0.121338,0.239647,3.141370,-0.000445,1.570830
0.548870,-0.121327,0.239644,3.141355,-0.000476,1.570832
0.548870,-0.121315,0.239641,3.141339,-0.000507,1.570835
0.548870,-0.121304,0.239637,3.141323,-0.000539,1.570837
0.548870,-0.121291,0.239634,3.141307,-0.000572,1.570840
0.548870,-0.121279,0.239631,3.141290,-0.000606,1.570842
0.548870,-0.121266,0.239627,3.141272,-0.000641,1.570845
0.548870,-0.121253,0.239623,3.141254,-0.000678,1.570848
0.548870,-0.121240,0.239619,3.141235,-0.000715,1.570850
0.548870,-0.121226,0.239615,3.141216,-0.000753,1.570853
0.548870,-0.121211,0.239611,3.141197,-0.000792,1.570856
0.548870,-0.121197,0.239607,3.141177,-0.000832,1.570859
0.548870,-0.121182,0.239603,3.141156,-0.000873,1.570863
0.548870,-0.121166,0.239599,3.141135,-0.000915,1.570866
0.548870,-0.121151,0.239594,3.141114,-0.000958,1.570869
0.548870,-0.121135,0.239590,3.141092,-0.001002,1.570872
0.548870,-0.121118,0.239585,3.141069,-0.001047,1.570876
0.548870,-0.121101,0.239581,3.141046,-0.001093,1.570879
0.548870,-0.121084,0.239576,3.141023,-0.001140,1.570883
0.548870,-0.121067,0.239571,3.140999,-0.001188,1.570887
0.548870,-0.121049,0.239566,3.140974,-0.001237,1.570890
